timesteps,episode_reward,episode_length
43064,5.013713,36
43144,3.375978,10
43144,-0.908853,26
43184,-0.289907,5
43224,12.699375,102
43256,8.583105,70
43280,-1.20366,7
43288,7.783541,69
43360,14.505479,108
43456,1.365735,25
43680,3.99826,62
43760,18.545001,133
43760,6.089019,87
43848,6.482091,49
43872,7.073503,74
43880,10.709374,92
43896,-0.429434,67
43912,3.365206,78
44144,2.861576,58
44152,1.476514,34
44280,6.621118,54
44352,3.781423,26
44376,7.851015,77
44416,9.172752,65
44432,6.004609,70
44496,5.512143,92
44560,2.043094,81
44568,5.404202,36
44576,-0.976156,1
44640,3.492422,18
44648,0.512205,9
44680,1.662333,31
44688,-0.815163,1
44712,5.493379,70
44760,-0.414285,9
44800,0.416241,30
44872,2.408638,14
44968,5.831128,69
44976,1.542974,33
45024,0.278073,19
45056,1.283648,51
45064,8.687868,89
45064,4.378116,86
45080,3.135188,35
45104,0.028772,5
45136,-1.761177,10
45320,4.644542,23
45344,4.613925,88
45384,2.454457,5
45392,-1.445597,1
45608,4.555874,63
45624,2.062512,29
45632,8.214401,71
45696,13.728745,90
45696,2.90111,9
45808,8.453797,91
45824,2.657823,27
45864,0.514401,21
45872,3.761811,22
45904,-0.712679,10
45912,-1.944729,6
45912,4.888781,74
45960,0.424099,6
45968,0.165543,7
46024,1.066709,19
46120,6.780127,61
46208,0.334042,11
46280,10.278057,164
46440,2.534453,67
46440,1.946162,59
46448,1.651011,21
46488,10.949162,66
46528,-0.206742,5
46592,7.888923,196
46632,6.965784,103
46696,4.422587,32
46768,1.743116,30
46888,1.696974,32
46896,10.887888,86
46944,-0.1492,7
47008,12.878154,123
47024,12.151693,73
47104,5.153507,51
47144,0.75833,15
47288,1.305323,35
47312,4.409022,90
47320,1.365681,22
47400,11.967654,119
47424,-0.313349,3
47464,1.965589,22
47480,7.263678,67
47520,6.434175,78
47528,11.831549,95
47584,-0.333926,7
47608,4.302547,36
47616,5.794362,38
47616,1.178869,24
47624,-0.927719,13
47656,3.164515,9
47720,2.304038,13
47768,2.589758,38
47784,9.229717,85
47888,7.539917,33
47928,10.926476,56
47968,3.202875,44
47992,2.609425,48
48000,3.456884,27
48008,-0.698214,2
48024,4.709975,17
48032,-1.359585,1
48040,2.034409,40
48080,1.966,39
48096,0.266973,16
48296,3.140044,32
48304,0.856053,34
48472,3.662605,22
48528,3.366334,66
48536,-1.254181,1
48568,-0.248063,4
48632,-0.454593,67
